episode,description,rating,number of votes,air date,Season,Episode,Title
S5.E45 ∙ Blade of Grass,Finn gets a new sword.,8.6,1.6K,"Mon, Jan 20, 2014",5,45,Blade of Grass
S5.E46 ∙ Rattleballs,Finn meets an old robot in the junkyard who promises to make Finn into a master swordsman.,8.3,1.5K,"Mon, Jan 27, 2014",5,46,Rattleballs
S5.E47 ∙ The Red Throne,The Fire King and Don John the Flame Lord take over the Fire Kingdom. Now Flame Princess must use Finn's and Cinnamon Bun's help to get it back.,7.6,1.4K,"Mon, Feb 10, 2014",5,47,The Red Throne
S5.E48 ∙ Betty,"The Ice King loses his powers, reverts to his old human-self, and begins to wither away due to being over a thousand years old.",9.0,1.8K,"Mon, Feb 24, 2014",5,48,Betty
S5.E49 ∙ Bad Timing,Bubblegum Princess invents a time travel sphere that Lumpy Space Princess wants for solving her relationship problems.,7.4,1.4K,"Mon, Mar 3, 2014",5,49,Bad Timing
S5.E50 ∙ Lemonhope Part One,Young Lemonhope leaves the candy kingdom after a deep desire to be free of all responsibilities grips him. So he ventures out on his own with nothing more than a lute and hope to find freedom.,8.0,1.6K,"Mon, Mar 10, 2014",5,50,Lemonhope Part One
S6.E1 ∙ Wake Up,Finn tracks down who he believes is his father.,9.2,1.8K,"Mon, Apr 21, 2014",6,1,Wake Up
S6.E2 ∙ Escape from the Citadel,"Finn finds his long-lost father after following the Lich to the Citadel. As it turns out, maybe this wasn't such a good idea?",9.4,2K,"Mon, Apr 21, 2014",6,2,Escape from the Citadel
S6.E3 ∙ James II,"'James', Finn & Jake, and Princess Bubblegum discover that James has been cloned 25 times, and that the original zombie James is returning - and not in a good way.",7.5,1.5K,"Mon, Apr 28, 2014",6,3,James II
S6.E4 ∙ The Tower,Finn decides to build a tower to space.,8.5,1.6K,"Mon, May 5, 2014",6,4,The Tower
S6.E5 ∙ Sad Face,"Once a month, while Finn and Jake are asleep, Jake's tail comes to life. It travels to a little circus in the forest, where it is known as Blue Nose the sad faced clown. But Blue Nose and the ringmaster come to a disagreement regarding the treatment of the ""beast"" Goralina.",6.9,1.5K,"Mon, May 12, 2014",6,5,Sad Face
S6.E6 ∙ Breezy,"In an attempt to help his wilting arm-flower, Finn begins a search for smooches with the help of a friendly bee named Breezy.",7.7,1.5K,"Thu, Jun 5, 2014",6,6,Breezy
S6.E7 ∙ Food Chain,Finn and Jake learn how the food chain works with a little help from Magic Man.,8.0,1.8K,"Thu, Jun 12, 2014",6,7,Food Chain
S6.E8 ∙ Furniture & Meat,Finn and Jake spend all their money.,7.4,1.4K,"Thu, Jun 19, 2014",6,8,Furniture & Meat
S6.E9 ∙ The Prince Who Wanted Everything,"Back to the Fiona and Cake universe when LSP wants the Ice King to tell (her) version of Lumpy Space Prince's life, but she has an ulterior motive.",6.9,1.5K,"Thu, Jun 26, 2014",6,9,The Prince Who Wanted Everything
S6.E10 ∙ Something Big,The Sky Witch attacks the Candy Kingdom.,8.2,1.5K,"Thu, Jul 3, 2014",6,10,Something Big
S6.E11 ∙ Little Brother,Shelby gains a little brother who sets off to battle.,8.1,1.5K,"Thu, Jul 10, 2014",6,11,Little Brother
S6.E12 ∙ Ocarina,Kim Kil Whan wants to teach his dad Jake responsibility.,7.8,1.4K,"Thu, Jul 17, 2014",6,12,Ocarina
"S6.E13 ∙ Thanks for the Crabapples, Giuseppe!",Ice King goes on a spiritual journey.,7.7,1.4K,"Thu, Jul 24, 2014",6,13,"Thanks for the Crabapples, Giuseppe!"
S6.E14 ∙ Princess Day,Marceline and Lumpy Space Princess cause chaos at the Breakfast Kingdom.,7.3,1.4K,"Thu, Jul 31, 2014",6,14,Princess Day
S6.E15 ∙ Nemesis,A crusader against the dark arts seeks to banish Peppermint Butler.,7.7,1.4K,"Thu, Aug 7, 2014",6,15,Nemesis
S6.E16 ∙ Joshua & Margaret Investigations,Jake tells the story of his and his brother Jermaine's' births.,8.4,1.5K,"Thu, Aug 14, 2014",6,16,Joshua & Margaret Investigations
S6.E17 ∙ Ghost Fly,"Jake kills a fly that gets into his soup. However, he and Finn must get creative when the fly returns as a powerful ghost to haunt them.",7.6,1.4K,"Tue, Oct 28, 2014",6,17,Ghost Fly
S6.E18 ∙ Everything's Jake,Jake is transported to a different world.,8.1,1.5K,"Mon, Nov 24, 2014",6,18,Everything's Jake
S6.E19 ∙ Is That You?,"After the death of Prismo, Finn and Jake do a funeral ritual. But when Jake eats the last pickle of the jar of pickles that Prismo made for him, he is transported to Prismo's lair. Will Finn be able to save him?",9.2,1.9K,"Tue, Nov 25, 2014",6,19,Is That You?
S6.E20 ∙ Jake the Brick,Jake is conducting an experiment of being a brick in a brick-shack.,8.8,1.7K,"Wed, Nov 26, 2014",6,20,Jake the Brick
S6.E21 ∙ Dentist,"Finn has a toothache, so he has to go to the dentist.",7.7,1.4K,"Fri, Nov 28, 2014",6,21,Dentist
S6.E22 ∙ The Cooler,Flame Princess asks Princess Bubblegum for help when her city is cooled down.,8.0,1.4K,"Thu, Dec 4, 2014",6,22,The Cooler
S6.E23 ∙ The Pajama War,A slumber party is being held in the Candy Kingdom and Finn and Princess Bubblegum are sent to 7 minutes in Heaven.,8.1,1.4K,"Thu, Jan 8, 2015",6,23,The Pajama War
